Company,Description,Experience,Function Area,Job Title,Location,Posting Date,Salary,Scraping Date,Tags
Diverse Lynx India Pvt. Ltd," You will report to the Head Legal Compliance, India. The position will be responsible t...",15-18 Yrs,Legal Jobs,Sr. Legal Counsel,Mumbai,Today,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Procurement</li><li class=""fleft fs12 grey-text lh16 dot"">Due diligence</li><li class=""fleft fs12 grey-text lh16 dot"">Legal compliance</li><li class=""fleft fs12 grey-text lh16 dot"">Corporate governance</li><li class=""fleft fs12 grey-text lh16 dot"">Commercial laws</li><li class=""fleft fs12 grey-text lh16 dot"">Legal Counsel</li><li class=""fleft fs12 grey-text lh16 dot"">Legal</li><li class=""fleft fs12 grey-text lh16 dot"">Business planning</li></ul>"
Parksons Packaging Ltd.  , To work closely with external consultants to ensure that all the document required towa...,12-18 Yrs,Legal Jobs,AGM - Legal & Secretarial,Mumbai,Today,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Commercial Contracts</li><li class=""fleft fs12 grey-text lh16 dot"">Legal Advice</li><li class=""fleft fs12 grey-text lh16 dot"">Agreements</li><li class=""fleft fs12 grey-text lh16 dot"">Drafting</li><li class=""fleft fs12 grey-text lh16 dot"">Llb</li><li class=""fleft fs12 grey-text lh16 dot"">MOUS</li><li class=""fleft fs12 grey-text lh16 dot"">Corporate Governance</li><li class=""fleft fs12 grey-text lh16 dot"">Vetting</li></ul>"
Kama Ayurveda Private Limited, Preference to those having exposure of law firm Required Candidate Profile: Good team p...,5-7 Yrs,Legal Jobs,Urgently Required : Account Manager Legal,Noida,1 Day Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">law</li><li class=""fleft fs12 grey-text lh16 dot"">legal compliance</li><li class=""fleft fs12 grey-text lh16 dot"">Compliance</li><li class=""fleft fs12 grey-text lh16 dot"">Legal</li><li class=""fleft fs12 grey-text lh16 dot"">statutory</li><li class=""fleft fs12 grey-text lh16 dot"">Regulatory</li><li class=""fleft fs12 grey-text lh16 dot"">tax laws</li><li class=""fleft fs12 grey-text lh16 dot"">contractual risk</li></ul>"
Balancehero India Private Limited  , Candidate should be available to join in 15-30 days timeMust have excellent knowledge o...,3-5 Yrs,Legal Jobs,Manager - Legal/ CS,Gurgaon,2 Days Ago,"10,00,000 - 15,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Companies Act</li><li class=""fleft fs12 grey-text lh16 dot"">Compliance</li><li class=""fleft fs12 grey-text lh16 dot"">RBI</li><li class=""fleft fs12 grey-text lh16 dot"">Legal Assistance</li><li class=""fleft fs12 grey-text lh16 dot"">Legal Notices</li><li class=""fleft fs12 grey-text lh16 dot"">Vetting</li><li class=""fleft fs12 grey-text lh16 dot"">Law Enforcement</li><li class=""fleft fs12 grey-text lh16 dot"">Agreements</li></ul>"
Parikh Packaging Pvt. Ltd. , Should have Knowledge of Flexible Packaging Converting 5 Year of Experience into Packag...,4-9 Yrs,Packaging Jobs,Area Product Manager (Packaging Development),Ahmedabad(Changodar),6 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Product Management</li></ul>"
NewAge Products Inc, Must be able to travel internationally to manufacturer sites 2-3 times a year for a dur...,8-12 Yrs,Packaging Jobs,Senior Packaging Engineer - Ecommerce Manufacturer (8 To 10 yrs),Mumbai,14 Days Ago,"10,00,000 - 15,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Product Development</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging Design</li><li class=""fleft fs12 grey-text lh16 dot"">International Shipping</li><li class=""fleft fs12 grey-text lh16 dot"">Cost Effective</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging Development</li><li class=""fleft fs12 grey-text lh16 dot"">Manufacturing</li><li class=""fleft fs12 grey-text lh16 dot"">Solid Works</li></ul>"
DOUBLE HR CONSULTANCY, Job Description The Packaging Supervisor is Responsible for Supervising all Packaging D...,5-6 Yrs,Packaging Jobs,Packaging Assistant,palghar,11 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Packing Supervisor</li><li class=""fleft fs12 grey-text lh16 dot"">Biotechnology</li><li class=""fleft fs12 grey-text lh16 dot"">Warehouse</li><li class=""fleft fs12 grey-text lh16 dot"">Translation</li><li class=""fleft fs12 grey-text lh16 dot"">Pharma</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging</li><li class=""fleft fs12 grey-text lh16 dot"">Executive Packaging</li><li class=""fleft fs12 grey-text lh16 dot"">Cost</li></ul>"
NEFAB INDIA PRIVATE LIMITED  ," Coordinate with various stakeholders in customer plant.Make plans for material, manpowe...",3-8 Yrs,Packaging Jobs,Executive / Engineer - Onsite (Packaging) Operation,Pune(Chakan),12 Days Ago,"3,00,000 - 6,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">production</li><li class=""fleft fs12 grey-text lh16 dot"">onsite support</li><li class=""fleft fs12 grey-text lh16 dot"">packaging</li><li class=""fleft fs12 grey-text lh16 dot"">quality</li></ul>"
ABC Consultants Pvt Ltd," Should have In depth knowledge of Innovative packaging systems development, introductio...",10-20 Yrs,Packaging Jobs,"Opening - Packaging Development Head - Leading FMCG, Bangalore",Bengaluru,2 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Packaging Design</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging Development</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging Head</li><li class=""fleft fs12 grey-text lh16 dot"">packaging lead</li></ul>"
R R Packaging," Knowledge of Packaging Change-parts , development of Keylines , have understanding of t...",2-4 Yrs,Packaging Jobs,Packaging Development Executive/Manager,Pune,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Executive Packaging Development</li><li class=""fleft fs12 grey-text lh16 dot"">Compliance</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging</li><li class=""fleft fs12 grey-text lh16 dot"">Testing</li></ul>"
Riddhi Siddhi Vinayak Placement  , Supervises and coordinates activities of workers engaged in packaging products and mate...,1-2 Yrs,Packaging Jobs,Urgent Requirement Packaging Executive/Officer,Delhi NCR,Just Now,"2,00,000 - 3,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Packaging Officer</li><li class=""fleft fs12 grey-text lh16 dot"">Food Processing</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging Management</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging Operations</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging Executive</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging Development</li></ul>"
Machino Plastics Ltd ," Design of corrugated boxes, Packing design as per standard, checking quality of boxes, ...",0-4 Yrs,Packaging Jobs,Executive Packaging,Delhi NCR,Few Hours Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Packaging Operations</li><li class=""fleft fs12 grey-text lh16 dot"">Flexible Packaging</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging Development</li></ul>"
Marion Biotech Private Limited, Experienced candidate should be preferably from pharmaceutical/ packaging industry,1-3 Yrs,Packaging Jobs,Packaging Executive,Noida,2 Days Ago,"3,00,000 - 4,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">packing material</li><li class=""fleft fs12 grey-text lh16 dot"">packaging development</li><li class=""fleft fs12 grey-text lh16 dot"">packaging</li><li class=""fleft fs12 grey-text lh16 dot"">artwork</li><li class=""fleft fs12 grey-text lh16 dot"">pharma</li><li class=""fleft fs12 grey-text lh16 dot"">Dosage Forms</li></ul>"
MAPAEX HEALTH AND PERSONALCARE PRIVATE LIMITED, 1) Selection and finalization of Primary packaging material for new product/ existing p...,5-10 Yrs,Packaging Jobs,Packaging Development - Bhopal,Bhopal,12 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Proof approval</li><li class=""fleft fs12 grey-text lh16 dot"">Nasal</li><li class=""fleft fs12 grey-text lh16 dot"">packaging development</li><li class=""fleft fs12 grey-text lh16 dot"">Artworks</li></ul>"
Khadi Natural Healthcare, Development of new product packaging Identifying & developing new vendors for Packaging...,5-10 Yrs,Packaging Jobs,Manager Packaging,Delhi NCR(Janakpuri),6 Days Ago,"5,00,000 - 8,50,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">deputy manager packaging development</li><li class=""fleft fs12 grey-text lh16 dot"">vendor development</li><li class=""fleft fs12 grey-text lh16 dot"">packaging development</li><li class=""fleft fs12 grey-text lh16 dot"">packaging</li><li class=""fleft fs12 grey-text lh16 dot"">assistant manager packaging development</li><li class=""fleft fs12 grey-text lh16 dot"">Executive Packaging</li><li class=""fleft fs12 grey-text lh16 dot"">packing development</li></ul>"
Chokhi Dhani Foods, Urgently looking for candidates for the post of Packaging Executive for a leading FMCG ...,5-7 Yrs,Packaging Jobs,Packaging Executive - FMCG Industry,Jaipur,6 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">packaging material vendor development</li><li class=""fleft fs12 grey-text lh16 dot"">packaging material procurement</li><li class=""fleft fs12 grey-text lh16 dot"">packaging material purchase vendor development</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging Operations</li><li class=""fleft fs12 grey-text lh16 dot"">Raw Material Procurement</li></ul>"
AXCESS CONSULTANCY SERVICES, Packaging and Labeling Specialist (Male / Female) Experience Min. 1 year Qualification ...,1-6 Yrs,Packaging Jobs,Packaging and Labeling Specialist,Ludhiana,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Packaging</li><li class=""fleft fs12 grey-text lh16 dot"">Conceptualization</li><li class=""fleft fs12 grey-text lh16 dot"">Cosmetics</li><li class=""fleft fs12 grey-text lh16 dot"">FMCG</li></ul>"
Gracure Pharmaceuticals Limited, Review of BPR (Batch Packaging Report) and other plant documents,3-7 Yrs,Packaging Jobs,R&D - Packaging Development,Bhiwadi,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">New Vendor Development</li><li class=""fleft fs12 grey-text lh16 dot"">Procurement</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging Design</li><li class=""fleft fs12 grey-text lh16 dot"">packaging development design</li><li class=""fleft fs12 grey-text lh16 dot"">diploma in packaging design</li><li class=""fleft fs12 grey-text lh16 dot"">Report Development</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging Development</li></ul>"
ExecBoardinAsia, Purpose of Job The incumbent will be responsible for driving development in packaging m...,10-15 Yrs,Packaging Jobs,Manager Packaging,Mumbai,22 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Supply chain</li><li class=""fleft fs12 grey-text lh16 dot"">Costing</li><li class=""fleft fs12 grey-text lh16 dot"">Prototype</li><li class=""fleft fs12 grey-text lh16 dot"">Process improvement</li><li class=""fleft fs12 grey-text lh16 dot"">CAD</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging</li><li class=""fleft fs12 grey-text lh16 dot"">Conceptualization</li><li class=""fleft fs12 grey-text lh16 dot"">SCM</li></ul>"
GLAN MANAGEMENT CONSULTANCY," Job Description:Position: Packaging in-charge (Garment Export)Location: sector-64, noid...",5-10 Yrs,Packaging Jobs,Packaging in-charg,Noida,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Packing Supervisor</li><li class=""fleft fs12 grey-text lh16 dot"">Incharge</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging</li><li class=""fleft fs12 grey-text lh16 dot"">PHP</li><li class=""fleft fs12 grey-text lh16 dot"">garment export</li><li class=""fleft fs12 grey-text lh16 dot"">Consultancy</li><li class=""fleft fs12 grey-text lh16 dot"">HTTP</li><li class=""fleft fs12 grey-text lh16 dot"">Management</li></ul>"
Prism Manpower Services," To supervise shop floor Operations of material loading / unloading, packaging - Checkin...",3-5 Yrs,Packaging Jobs,Packaging & Dispatch Supervisors,"Mumbai, Thane",30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Supervisor</li><li class=""fleft fs12 grey-text lh16 dot"">Dispatch Supervisor</li><li class=""fleft fs12 grey-text lh16 dot"">Shop floor</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging</li><li class=""fleft fs12 grey-text lh16 dot"">Management</li><li class=""fleft fs12 grey-text lh16 dot"">Monitoring</li></ul>"
Fine Jobs, Job Profile:* Must have minimum 3 Yrs of experience.* Must have experience of different...,3-8 Yrs,Packaging Jobs,Executive - Packaging Development,"Mumbai, maharashtra",30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Packaging Development mumbai</li></ul>"
Fine Jobs, Job Profile:* Must have minimum 3 Yrs of experience.* Must have experience of different...,3-7 Yrs,Packaging Jobs,Executive - Packaging Development,"Mumbai, maharashtra",30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Packaging Development mumbai</li></ul>"
Fine Jobs, Job Profile:* Must have minimum 3 Yrs of experience.* Must have experience of different...,1-5 Yrs,Packaging Jobs,Executive - Packaging Development,"Mumbai, maharashtra",30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Packaging Development mumbai</li></ul>"
3D India Staffing Research  Consulting Pvt Ltd, Must have bike or ready to travel in the periphery of the CityEXPERIENCE: 0 TO 5 YEARS,3-8 Yrs,Pharma Jobs,Lab Technician - Dmlt/bmlt - Healthcare/pharma,Bengaluru,7 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">lab assistant</li><li class=""fleft fs12 grey-text lh16 dot"">hematology</li><li class=""fleft fs12 grey-text lh16 dot"">medical</li><li class=""fleft fs12 grey-text lh16 dot"">mlt</li><li class=""fleft fs12 grey-text lh16 dot"">laboratory</li><li class=""fleft fs12 grey-text lh16 dot"">biochemistry</li><li class=""fleft fs12 grey-text lh16 dot"">laboratory equipment</li><li class=""fleft fs12 grey-text lh16 dot"">laboratory technician</li></ul>"
Strides Pharma," In addition to the above, following formulation development knowledge is required: Shou...",2-6 Yrs,Pharma Jobs,Formulation Development - R&D in Strides Pharma,Bengaluru(7th Phase JP Nagar),9 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Formulation Development</li><li class=""fleft fs12 grey-text lh16 dot"">Product Development</li><li class=""fleft fs12 grey-text lh16 dot"">Change Control</li><li class=""fleft fs12 grey-text lh16 dot"">R</li><li class=""fleft fs12 grey-text lh16 dot"">Capsules</li><li class=""fleft fs12 grey-text lh16 dot"">Tablets</li><li class=""fleft fs12 grey-text lh16 dot"">Pharma</li><li class=""fleft fs12 grey-text lh16 dot"">Suspension</li></ul>"
Nagarjuna Consultancy, MBBS Doctor - Healthcare/Pharma (1-10 yrs)Urgent Requirement of Duty doctor job in Delh...,1-6 Yrs,Pharma Jobs,MBBS Doctor - Healthcare/ Pharma,Delhi,2 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">MBBS</li><li class=""fleft fs12 grey-text lh16 dot"">General Physician</li><li class=""fleft fs12 grey-text lh16 dot"">Healthcare</li><li class=""fleft fs12 grey-text lh16 dot"">General Medicine</li></ul>"
Nagarjuna Consultancy, Urgent Requirement of Duty doctor job in Delhi.Qualification : MBBS.Salary : As per exp...,1-6 Yrs,Pharma Jobs,MBBS Doctor - Healthcare/pharma,Delhi,2 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">MBBS Doctor</li><li class=""fleft fs12 grey-text lh16 dot"">General Physician</li><li class=""fleft fs12 grey-text lh16 dot"">General Medicine</li><li class=""fleft fs12 grey-text lh16 dot"">Doctor</li></ul>"
Cactus Communications," Note: This is a fulltime opportunity, not part-time or freelanceAccording to this Gallu...",0-5 Yrs,Pharma Jobs,Editorial Reviewer - Pharma (full-time; Work-from-home),"Mysore, Bengaluru, Hyderabad",2 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">pharma and biotech</li><li class=""fleft fs12 grey-text lh16 dot"">pharmaceuticals</li><li class=""fleft fs12 grey-text lh16 dot"">r&amp;d and pharmaceuticals</li><li class=""fleft fs12 grey-text lh16 dot"">pharma and clinical research</li><li class=""fleft fs12 grey-text lh16 dot"">english trainer</li><li class=""fleft fs12 grey-text lh16 dot"">proof reading</li><li class=""fleft fs12 grey-text lh16 dot"">editing</li><li class=""fleft fs12 grey-text lh16 dot"">pharmaceuticals and biotechnology</li></ul>"
Prescient Healthcare Group Pvt. Ltd., Required Candidate profileRequired Experience and SkillsExtensive experience managing a...,6-8 Yrs,Pharma Jobs,Engagement Manager (pharma),Gurgaon,Today,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Clinical Research</li><li class=""fleft fs12 grey-text lh16 dot"">equity research</li><li class=""fleft fs12 grey-text lh16 dot"">Competitive Intelligence</li><li class=""fleft fs12 grey-text lh16 dot"">clinical development</li><li class=""fleft fs12 grey-text lh16 dot"">life sciences</li><li class=""fleft fs12 grey-text lh16 dot"">business growth</li></ul>"
Macleods Pharmaceuticals Ltd., Qualification : MPharma / M.scMaintaining documents required for analysis,3-7 Yrs,Pharma Jobs,Opportunity For AMD - Icpms - Macleods Pharma,Mumbai,6 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Validation</li><li class=""fleft fs12 grey-text lh16 dot"">Pharma</li><li class=""fleft fs12 grey-text lh16 dot"">Report Preparation</li><li class=""fleft fs12 grey-text lh16 dot"">Method Development</li></ul>"
Accenture Solutions Pvt Ltd, Please note that this role may require you to work in rotational shiftsWill develop Stu...,3-5 Yrs,Pharma Jobs,Pharma Erp-study Data Tabulation Model Mapping,Bengaluru,5 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">ERP</li><li class=""fleft fs12 grey-text lh16 dot"">SAS</li><li class=""fleft fs12 grey-text lh16 dot"">Senior Analyst</li><li class=""fleft fs12 grey-text lh16 dot"">EDC</li><li class=""fleft fs12 grey-text lh16 dot"">Pharma</li><li class=""fleft fs12 grey-text lh16 dot"">Cognos</li><li class=""fleft fs12 grey-text lh16 dot"">Design development</li><li class=""fleft fs12 grey-text lh16 dot"">Programming</li></ul>"
DOUBLE HR CONSULTANCY, Job Description Require A Microbiologist with minimum 1 year experience in Analysis of ...,5-7 Yrs,Pharma Jobs,Senior Microbiologist Pharma,"Mumbai, Thane",11 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Biotechnology</li><li class=""fleft fs12 grey-text lh16 dot"">Translation</li><li class=""fleft fs12 grey-text lh16 dot"">Microbiology</li><li class=""fleft fs12 grey-text lh16 dot"">Pharma</li></ul>"
ZENZI PHARMACEUTICAL INDUSTRIES PRIVATE LIMITED , Job description 1.GC operation 2.HPLC/FTIR/UV/Dissolution calibration and operation 3.R...,1-6 Yrs,Pharma Jobs,QC in pharma Industry,Thane,12 Days Ago,"2,00,000 - 3,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">QC</li><li class=""fleft fs12 grey-text lh16 dot"">Pharma</li><li class=""fleft fs12 grey-text lh16 dot"">UV</li><li class=""fleft fs12 grey-text lh16 dot"">OOS</li><li class=""fleft fs12 grey-text lh16 dot"">OOT</li><li class=""fleft fs12 grey-text lh16 dot"">FTIR</li><li class=""fleft fs12 grey-text lh16 dot"">Deviation</li><li class=""fleft fs12 grey-text lh16 dot"">Dissolution</li></ul>"
Accenture Solutions Pvt Ltd, Job Summary You will be aligned with our Pharmaceuticals Processes vertical and help us...,5-7 Yrs,Pharma Jobs,Pharma Erp-sdtm - Study Data Tabulation Module,Bengaluru,5 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Analyst</li><li class=""fleft fs12 grey-text lh16 dot"">ERP</li><li class=""fleft fs12 grey-text lh16 dot"">SAS</li><li class=""fleft fs12 grey-text lh16 dot"">EDC</li><li class=""fleft fs12 grey-text lh16 dot"">Pharma</li><li class=""fleft fs12 grey-text lh16 dot"">Cognos</li><li class=""fleft fs12 grey-text lh16 dot"">Design development</li><li class=""fleft fs12 grey-text lh16 dot"">Programming</li></ul>"
3D India Staffing Research  Consulting Pvt Ltd," Job Responsibility :- Support clinical, operational and facility services throughout th...",7-12 Yrs,Pharma Jobs,Medical Administrator - Healthcare/pharma,"Chennai, Pune, Delhi, Mumbai, Ahmedabad, Bengaluru, Hyderabad, Kolkata",7 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">conflict resolution</li><li class=""fleft fs12 grey-text lh16 dot"">medical administrator</li><li class=""fleft fs12 grey-text lh16 dot"">continuous improvement</li><li class=""fleft fs12 grey-text lh16 dot"">administration</li><li class=""fleft fs12 grey-text lh16 dot"">quality assurance</li><li class=""fleft fs12 grey-text lh16 dot"">facility services</li><li class=""fleft fs12 grey-text lh16 dot"">problem solving</li><li class=""fleft fs12 grey-text lh16 dot"">medical services</li></ul>"
Great Coaches HR Consultants, Experience: Any (all consider),0-5 Yrs,Pharma Jobs,Neonatologist - MD/DNB/DM - Healthcare/Pharma,Jalandhar,Few Hours Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Neonatologist</li><li class=""fleft fs12 grey-text lh16 dot"">Pediatrics</li><li class=""fleft fs12 grey-text lh16 dot"">MBBS</li><li class=""fleft fs12 grey-text lh16 dot"">MD</li><li class=""fleft fs12 grey-text lh16 dot"">Neonatology</li><li class=""fleft fs12 grey-text lh16 dot"">DNB</li><li class=""fleft fs12 grey-text lh16 dot"">DM</li></ul>"
Great Coaches HR Consultants, Radiologist - MRD/DNB/MD - Healthcare/Pharma (0-5 yrs)Consultant Radiologist required i...,0-5 Yrs,Pharma Jobs,Radiologist - MRD/DNB/MD - Healthcare/Pharma,Jalandhar,Today,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Consultant Radiologist</li><li class=""fleft fs12 grey-text lh16 dot"">Pharma</li><li class=""fleft fs12 grey-text lh16 dot"">MD</li><li class=""fleft fs12 grey-text lh16 dot"">Healthcare</li><li class=""fleft fs12 grey-text lh16 dot"">DNB</li><li class=""fleft fs12 grey-text lh16 dot"">Hospital</li></ul>"
Great Coaches HR Consultants, Med or TB and Respiratory Diseases / Medicine) or DM (PulWe have some urgent requiremen...,0-5 Yrs,Pharma Jobs,Chest Specialist/ Pulmonologist - MD/ DNB/ DM - Healthcare/ Pharma,Jalandhar,1 Day Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Pulmonology</li><li class=""fleft fs12 grey-text lh16 dot"">MBBS</li><li class=""fleft fs12 grey-text lh16 dot"">Tuberculosis</li><li class=""fleft fs12 grey-text lh16 dot"">MD</li><li class=""fleft fs12 grey-text lh16 dot"">Critical Care</li><li class=""fleft fs12 grey-text lh16 dot"">DNB</li><li class=""fleft fs12 grey-text lh16 dot"">DM</li><li class=""fleft fs12 grey-text lh16 dot"">Chest Physician</li></ul>"
Great Coaches HR Consultants, Consultant - Cardiologist - DNB/DM - Healthcare/Pharma (0-5 yrs) Job Responsibility :- ...,0-5 Yrs,Pharma Jobs,Consultant - Cardiologist - DNB/DM - Healthcare/Pharma,"Roorkee,  Uttarakhand",1 Day Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Cardiologist</li><li class=""fleft fs12 grey-text lh16 dot"">Interventional Cardiology</li><li class=""fleft fs12 grey-text lh16 dot"">DNB</li><li class=""fleft fs12 grey-text lh16 dot"">DM</li><li class=""fleft fs12 grey-text lh16 dot"">Cardiology</li></ul>"
Nagarjuna Consultancy, Urgent Requirement of Duty doctor job in Delhi.Qualification : MBBS.Salary : As per exp...,5-10 Yrs,Pharma Jobs,MBBS Doctor - Healthcare/pharma,Delhi,2 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Mbbs</li><li class=""fleft fs12 grey-text lh16 dot"">Mbbs Doctor</li><li class=""fleft fs12 grey-text lh16 dot"">Healthcare</li><li class=""fleft fs12 grey-text lh16 dot"">General Medicine</li></ul>"
AS Medical Coding Technologies, Day ShiftLife science graduatesBachelor of Science in Optometry15K to 17K (fresher) To ...,0-3 Yrs,Pharma Jobs,Medical Coding Jobs For B.pharm/mpharm/pharmacy/pharmacist/pharma Grad,"Chennai, Madurai, Coimbatore",4 Days Ago,"3,25,000 - 4,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Biotechnology</li><li class=""fleft fs12 grey-text lh16 dot"">m.pharm</li><li class=""fleft fs12 grey-text lh16 dot"">b.pharm</li><li class=""fleft fs12 grey-text lh16 dot"">Microbiology</li><li class=""fleft fs12 grey-text lh16 dot"">Zoology</li><li class=""fleft fs12 grey-text lh16 dot"">Physiotherapy</li><li class=""fleft fs12 grey-text lh16 dot"">BPT</li><li class=""fleft fs12 grey-text lh16 dot"">Biochemistry</li></ul>"
SPEED WINGS LOGISTICS SOLUTIONS PVT LTD," FLEET & DRIVER MANAGEMENT, OPERATIONS, VEHICLE TRACKING, FREIGHT RECOLLECTION, FREIGHT ...",2-5 Yrs,Logistics Jobs,Logistics Executive,"Rewari, Dharuhera",6 Days Ago,"1,25,000 - 2,50,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">FREIGHT COLLECTION</li><li class=""fleft fs12 grey-text lh16 dot"">Fleet</li><li class=""fleft fs12 grey-text lh16 dot"">freight</li><li class=""fleft fs12 grey-text lh16 dot"">Vehicle Tracking</li><li class=""fleft fs12 grey-text lh16 dot"">forwarding</li><li class=""fleft fs12 grey-text lh16 dot"">gps</li><li class=""fleft fs12 grey-text lh16 dot"">Logistics</li><li class=""fleft fs12 grey-text lh16 dot"">transportation</li></ul>"
