Company,Description,Experience,Function Area,Job Title,Location,Posting Date,Salary,Scraping Date,Tags
RANDSTAD INDIA PVT LTD, Male & female candidates also appliedShift Time - 8 AM to 8 PM ( Any 9 hours shift )Edu...,2-4 Yrs,Accounting Jobs,Accounts Payable Executive (normal Invoice Processing),Navi Mumbai,1 Day Ago,"3,25,000 - 4,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">accounts receivable</li><li class=""fleft fs12 grey-text lh16 dot"">accounts payable</li><li class=""fleft fs12 grey-text lh16 dot"">sap</li><li class=""fleft fs12 grey-text lh16 dot"">Invoice Processing</li><li class=""fleft fs12 grey-text lh16 dot"">payment processing</li><li class=""fleft fs12 grey-text lh16 dot"">general ledger</li></ul>"
RANDSTAD INDIA PVT LTD, Male & female candidates also appliedShift Time - 8 AM to 8 PM ( Any 9 hours shift )Edu...,2-4 Yrs,Accounting Jobs,Accounts Payable Executive (normal Invoice Processing),Navi Mumbai,4 Days Ago,"3,25,000 - 4,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">accounts receivable</li><li class=""fleft fs12 grey-text lh16 dot"">accounts payable</li><li class=""fleft fs12 grey-text lh16 dot"">sap</li><li class=""fleft fs12 grey-text lh16 dot"">Invoice Processing</li><li class=""fleft fs12 grey-text lh16 dot"">payment processing</li><li class=""fleft fs12 grey-text lh16 dot"">general ledger</li></ul>"
Izago Immigration Advisors Pvt Ltd," We Only Have Vacancies In Abroad Canada, Australia, Hong Kong",0-5 Yrs,Interior Design Jobs,Interior Designer Required Under PR Visa Canada,"Hong Kong, Canada, Australia",8 Days Ago,"60,000 - 80,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">electrical layout</li><li class=""fleft fs12 grey-text lh16 dot"">interior decoration</li><li class=""fleft fs12 grey-text lh16 dot"">interior architecture</li><li class=""fleft fs12 grey-text lh16 dot"">Industrial</li><li class=""fleft fs12 grey-text lh16 dot"">design</li><li class=""fleft fs12 grey-text lh16 dot"">furniture design</li><li class=""fleft fs12 grey-text lh16 dot"">interior designer</li><li class=""fleft fs12 grey-text lh16 dot"">client presentations</li></ul>"
LeanFlo Inc, 05-10 years of experienceQualification and Experience,5-10 Yrs,Interior Design Jobs,Senior Architect - Parametric Design - Interior Design Firm ,Mumbai,2 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Architecture</li><li class=""fleft fs12 grey-text lh16 dot"">Project Management</li><li class=""fleft fs12 grey-text lh16 dot"">Parametric Design</li><li class=""fleft fs12 grey-text lh16 dot"">Process Mapping</li><li class=""fleft fs12 grey-text lh16 dot"">Process Implementation</li><li class=""fleft fs12 grey-text lh16 dot"">Architectural Design</li><li class=""fleft fs12 grey-text lh16 dot"">Space Planning</li><li class=""fleft fs12 grey-text lh16 dot"">Interior Designing</li></ul>"
DESIGN CAFE, Job Description / Responsibilities Assesses and meets client requirements and desires t...,2-3 Yrs,Interior Design Jobs,Senior Interior Designer,"Mumbai, Bengaluru",8 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Architecture</li><li class=""fleft fs12 grey-text lh16 dot"">AutoCAD</li><li class=""fleft fs12 grey-text lh16 dot"">Google Sketchup</li><li class=""fleft fs12 grey-text lh16 dot"">CAD</li><li class=""fleft fs12 grey-text lh16 dot"">MS Office</li><li class=""fleft fs12 grey-text lh16 dot"">Interior designing</li><li class=""fleft fs12 grey-text lh16 dot"">Project handling</li><li class=""fleft fs12 grey-text lh16 dot"">Technical Professional</li></ul>"
Comet Advisor, Interior designers read blueprints and must be aware of building codes and inspection r...,2-5 Yrs,Interior Design Jobs,Interior Designer Required Under PR Visa Australia,"Canada, Australia",1 Day Ago,"45,00,000 - 90,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Design</li><li class=""fleft fs12 grey-text lh16 dot"">Interior Architecture</li><li class=""fleft fs12 grey-text lh16 dot"">interior designer+textile designer</li><li class=""fleft fs12 grey-text lh16 dot"">client presentation</li><li class=""fleft fs12 grey-text lh16 dot"">furniture designing</li><li class=""fleft fs12 grey-text lh16 dot"">interior decorator</li><li class=""fleft fs12 grey-text lh16 dot"">interior architect</li><li class=""fleft fs12 grey-text lh16 dot"">Electrical Layouts</li></ul>"
3D India Staffing Research  Consulting Pvt Ltd, Head/Senior Manager - Interior Design (15-20 yrs)Head of Design/Sr Manager Interior Des...,15-20 Yrs,Interior Design Jobs,Head/senior Manager - Interior Design,Bengaluru,7 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Restaurant</li><li class=""fleft fs12 grey-text lh16 dot"">Architecture</li><li class=""fleft fs12 grey-text lh16 dot"">Project Management</li><li class=""fleft fs12 grey-text lh16 dot"">AutoCAD</li><li class=""fleft fs12 grey-text lh16 dot"">Interiors</li><li class=""fleft fs12 grey-text lh16 dot"">Concept Design</li><li class=""fleft fs12 grey-text lh16 dot"">Photoshop</li><li class=""fleft fs12 grey-text lh16 dot"">Operations</li></ul>"
3D India Staffing Research  Consulting Pvt Ltd," - Plan, design, to create unique work spaces.- Work closely with the Business head and ...",15-20 Yrs,Interior Design Jobs,Head / Senior Manager - Interior Design,Bengaluru,7 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">vendor management</li><li class=""fleft fs12 grey-text lh16 dot"">ms projects</li><li class=""fleft fs12 grey-text lh16 dot"">interior designing</li><li class=""fleft fs12 grey-text lh16 dot"">operations</li><li class=""fleft fs12 grey-text lh16 dot"">interiors</li><li class=""fleft fs12 grey-text lh16 dot"">restaurant</li><li class=""fleft fs12 grey-text lh16 dot"">concept design</li><li class=""fleft fs12 grey-text lh16 dot"">design review</li></ul>"
DESIGN CAFE, Job Description / Responsibilities Assesses and meets client requirements and desires t...,4-9 Yrs,Interior Design Jobs,Senior Interior Designer,Mumbai,2 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Designer R&amp;D</li></ul>"
Buildkonnect Consultants, You are proficient in AutoCAD and also other relevant softwares and have an interest in...,5-7 Yrs,Interior Design Jobs,Design Manager (Workplace interiors),Bengaluru,8 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Corporate Interiors</li><li class=""fleft fs12 grey-text lh16 dot"">Design Management</li></ul>"
Jobjunctioninfo Pvt. Ltd.," Looking for Interior Designers with good Revit knowledge, Excellent Interior Design ski...",0-2 Yrs,Interior Design Jobs,Interior Designer,Bengaluru,Few Hours Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">interior designing</li><li class=""fleft fs12 grey-text lh16 dot"">Revit MEP</li><li class=""fleft fs12 grey-text lh16 dot"">Interior Architect</li><li class=""fleft fs12 grey-text lh16 dot"">Modular Kitchen</li><li class=""fleft fs12 grey-text lh16 dot"">Interior Decoration</li><li class=""fleft fs12 grey-text lh16 dot"">2D 3D Interior</li><li class=""fleft fs12 grey-text lh16 dot"">Interior Designer</li><li class=""fleft fs12 grey-text lh16 dot"">Revit</li></ul>"
ABAD BUILDERS, Person Specification : Degree/Diploma or Masters in Interior Designing and should be ex...,5-7 Yrs,Interior Design Jobs,Interior Designer,Kochi,Today,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Interior designing</li></ul>"
Anbre Construction and Interiors P Ltd, Are you an Architect/Interior Designer & passionate about Interior Designing We would l...,3-4 Yrs,Interior Design Jobs,Architect/Interior Designer,Chennai,1 Day Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Architect</li><li class=""fleft fs12 grey-text lh16 dot"">Architecture</li><li class=""fleft fs12 grey-text lh16 dot"">Interior designing</li><li class=""fleft fs12 grey-text lh16 dot"">Project handling</li><li class=""fleft fs12 grey-text lh16 dot"">3DSmax</li></ul>"
Intezine Lifestyles, Proven interior designing experience. A strong portfolio. Familiarity with design softw...,1-4 Yrs,Interior Design Jobs,Interior Designer,Pune,8 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Software design</li><li class=""fleft fs12 grey-text lh16 dot"">Architecture</li><li class=""fleft fs12 grey-text lh16 dot"">AutoCAD</li><li class=""fleft fs12 grey-text lh16 dot"">Interior designing</li><li class=""fleft fs12 grey-text lh16 dot"">Fine arts</li></ul>"
Seven Consultancy, JOB DETAILS 1.Experience: 4 to 6 Years 2.Education B.Arch. /Diploma in Interior Design ...,4-6 Yrs,Interior Design Jobs,Interior Designer,Jharkhand,8 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Hospitality</li><li class=""fleft fs12 grey-text lh16 dot"">Construction</li><li class=""fleft fs12 grey-text lh16 dot"">Architecture</li><li class=""fleft fs12 grey-text lh16 dot"">Site execution</li><li class=""fleft fs12 grey-text lh16 dot"">Acad</li><li class=""fleft fs12 grey-text lh16 dot"">Photoshop</li><li class=""fleft fs12 grey-text lh16 dot"">Interior designing</li><li class=""fleft fs12 grey-text lh16 dot"">Cost</li></ul>"
Wize Enterprises, Job Responsibilities - Provide Desirable solution for interior decorations. Providing E...,1-6 Yrs,Interior Design Jobs,Interior Designer,Jalandhar,9 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">HR</li><li class=""fleft fs12 grey-text lh16 dot"">Cost</li></ul>"
Decor Modular Systems Pvt Ltd , Knowledge of Autocad 2D & 3D,1-5 Yrs,Interior Design Jobs,Interior Designer,Delhi NCR(Madhu Vihar),9 Days Ago,"1,75,000 - 3,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Design</li><li class=""fleft fs12 grey-text lh16 dot"">AutoCAD 2D</li><li class=""fleft fs12 grey-text lh16 dot"">Interior Designing</li></ul>"
